iterations,fitness
100,0.44567062818336162
200,0.48556876061120541
300,0.48556876061120541
400,0.48556876061120541
500,0.48556876061120541
600,0.48556876061120541
700,0.48556876061120541
800,0.48556876061120541
900,0.48556876061120541
1000,0.48556876061120541
1100,0.48556876061120541
1200,0.48556876061120541
1300,0.48556876061120541
1400,0.48556876061120541
1500,0.48556876061120541
1600,0.48556876061120541
1700,0.48556876061120541
1800,0.48556876061120541
1900,0.48556876061120541
